pubDate,title,summary,infoSource,sourceUrl,province,provinceId
1.58E+12,截至3月22日24时河南省新型冠状病毒肺炎疫情最新情况,"2020年3月22日0-24时，河南省无新增本地新冠肺炎确诊病例。截至3月22日24时，全省累计报告本地新冠肺炎确诊病例1272例，累计死亡病例22例，累计出院病例1250例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。2020年3月22日0-24时，河南省新增报告境外输入确诊病例1例，现在郑州市定点医院隔离治疗。截至3月22日24时,全省累计报告境外输入确诊病例2例。自1月21日起，河南省已累计追踪到密切接触者39602人。3月22日解除观察27人，目前有200人正在接受医学观察。
    

  ",河南卫健委,http://www.hnwsjsw.gov.cn/contents/858/49047.shtml,,41
1.58E+12,河南省新型冠状病毒肺炎疫情最新情况,2020年3月14日0-24时，河南省无新增本地新冠肺炎确诊病例，新增出院病例1例。截至3月14日24时，全省累计报告本地新冠肺炎确诊病例1272例，无重症病例，无危重病例，累计死亡病例22例，累计出院病例1250例。河南省现有1例境外输入确诊病例。,河南卫健委,http://www.hnwsjsw.gov.cn/contents/858/48978.shtml,,41
1.58E+12,河南省新型冠状病毒肺炎疫情最新情况,2020年3月12日0-24时，河南省无新增本地新冠肺炎确诊病例。截至3月12日24时，全省累计报告本地新冠肺炎确诊病例1272例，无重症病例，无危重病例，累计死亡病例22例，累计出院病例1249例。3月12日解除观察106人，目前有102人正在接受医学观察。,河南卫健委,http://www.hnwsjsw.gov.cn/contents/858/48951.shtml,,41
1.58E+12,河北省新型冠状病毒肺炎疫情情况,2020年3月12日0—24时，河北省报告无新型冠状病毒肺炎新增确诊病例，无新增死亡病例，无新增疑似病例。当日新增治愈出院病例3例（张家口市），解除隔离医学观察的密切接触者144人。,河北卫健委,http://wsjkw.hebei.gov.cn/content/content_3714/401527.jhtml,,41
1.58E+12,河南郑州市确诊1例境外输入新冠肺炎病例，该病例是郑州首例境外输入性确诊病例。,【河南#郑州境外输入病例隐瞒行程被立案#】今天12时40分，河南郑州市确诊1例境外输入新冠肺炎病例，该病例是郑州首例境外输入性确诊病例。该男子刻意隐瞒境外行程，目前当地警方已立案侦查。,央视新闻,http://m.weibo.cn/2656274875/4481316156275455,,41
1.58E+12,河南省新型冠状病毒肺炎疫情最新情况,2020年3月10日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例2例。截至3月10日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，无重症病例，无危重病例，累计死亡病例22例，累计出院病例1249例。目前累计追踪到密切接触者39263人，3月10日已解除观察24人，共有109人正在接受医学观察。?,河南卫健委,http://www.hnwsjsw.gov.cn/contents/858/48930.shtml,,41
1.58E+12,河南省新型冠状病毒肺炎疫情最新情况,"
  2020年3月6日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例2例。截至3月6日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有危重病例1例，无重症病例，累计死亡病例22例，累计出院病例1243例。目前累计追踪到密切接触者39244人，3月6日已解除观察110人，共有353人正在接受医学观察。
    

  ",河南卫健委,http://www.hnwsjsw.gov.cn/contents/858/48888.shtml,,41
1.58E+12,河南省新型冠状病毒肺炎疫情最新情况,"2020年3月2日0-24时，河南省无新增新型冠状病毒肺炎确诊病例,新增出院病例18例。截至3月2日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例5例，现有危重病例2例，累计死亡病例22例，累计出院病例1223例。",河南卫健委,http://www.hnwsjsw.gov.cn/contents/858/48827.shtml,,41
1.58E+12,河南省无新增确诊病例，新增出院24例，死亡1例,"  2020年2月29日0-24时，河南省无新增新型冠状病毒肺炎确诊病例,新增出院24例、死亡1例。截至2月29日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例4例，累计死亡病例22例，累计出院病例1185例。目前累计追踪到密切接触者39199人，2月29日已解除观察226人，共有1328人正在接受医学观察。
    

  ",河南卫健委,http://www.hnwsjsw.gov.cn/contents/858/48790.shtml,,41
1.58E+12,河南无新增确诊，新增治愈58例,"2020年2月28日0-24时，河南省无新增新型冠状病毒肺炎确诊病例,新增出院病例58例,新增死亡病例1例。截至2月28日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例6例，累计死亡病例21例，累计出院病例1161例。

  ",河南卫健委,http://www.hnwsjsw.gov.cn/contents/858/48773.shtml,,41
